date,msl_m
1937-12-15,-0.257
1938-01-15,-0.199
1938-02-15,-0.25
1938-03-15,-0.217
1938-04-15,-0.217
1938-05-15,-0.156
1938-06-15,-0.165
1938-07-15,-0.159
1938-08-15,-0.132
1938-09-15,-0.138
1938-10-15,-0.113
1938-11-15,-0.193
1938-12-15,-0.266
1939-01-15,-0.293
1939-02-15,-0.275
1939-03-15,-0.205
1939-04-15,-0.205
1939-05-15,-0.144
1939-06-15,-0.119
1939-07-15,-0.125
1939-08-15,-0.125
1939-09-15,-0.058
1939-10-15,-0.159
1939-11-15,-0.223
1939-12-15,-0.327
1940-01-15,-0.366
1940-02-15,-0.217
1940-03-15,-0.247
1940-04-15,-0.199
1940-05-15,-0.092
1940-06-15,-0.122
1940-07-15,-0.162
1940-08-15,-0.037
1940-09-15,-0.098
1940-10-15,-0.129
1940-11-15,-0.238
1940-12-15,-0.223
1941-01-15,-0.22
1941-02-15,-0.363
1941-03-15,-0.345
1941-04-15,-0.162
1941-05-15,-0.214
1941-06-15,-0.116
1941-07-15,-0.116
1941-08-15,-0.144
1941-09-15,-0.125
1941-10-15,-0.18
1941-11-15,-0.235
1941-12-15,-0.278
1942-01-15,-0.296
1942-02-15,-0.336
1942-03-15,-0.217
1942-04-15,-0.196
1942-05-15,-0.15
1942-06-15,-0.083
1942-07-15,-0.116
1942-08-15,-0.086
1942-09-15,-0.037
1942-10-15,-0.025
1942-11-15,-0.183
1942-12-15,-0.281
1943-01-15,-0.269
1943-02-15,-0.308
1943-03-15,-0.269
1943-04-15,-0.229
1943-05-15,-0.18
1943-06-15,-0.125
1943-07-15,-0.119
1943-08-15,-0.101
1943-09-15,-0.104
1943-10-15,-0.092
1943-11-15,-0.22
1943-12-15,-0.354
1944-01-15,-0.284
1944-02-15,-0.299
1944-03-15,-0.202
1944-04-15,-0.189
1944-05-15,-0.141
1944-06-15,-0.098
1944-07-15,-0.098
1944-08-15,-0.113
1944-09-15,-0.086
1944-10-15,-0.11
1944-11-15,-0.104
1944-12-15,-0.354
1945-01-15,-0.302
1945-02-15,-0.29
1945-03-15,-0.193
1945-04-15,-0.162
1945-05-15,-0.092
1945-06-15,-0.089
1945-07-15,-0.061
1945-08-15,-0.061
1945-09-15,0.012
1945-10-15,-0.083
1945-11-15,-0.08
1945-12-15,-0.092
1946-01-15,-0.22
1946-02-15,-0.275
1946-03-15,-0.122
1946-04-15,-0.113
1946-05-15,-0.104
1946-06-15,-0.086
1946-07-15,-0.043
1946-08-15,-0.037
1946-09-15,-0.025
1946-10-15,-0.034
1946-11-15,-0.113
1946-12-15,-0.257
1947-01-15,-0.232
1947-02-15,-0.357
1947-03-15,-0.275
1947-04-15,-0.165
1947-05-15,-0.141
1947-06-15,-0.037
1947-07-15,-0.104
1947-08-15,-0.043
1947-09-15,-0.028
1947-10-15,-0.089
1947-11-15,-0.01
1947-12-15,-0.293
1948-01-15,-0.293
1948-02-15,-0.211
1948-03-15,-0.162
1948-04-15,-0.162
1948-05-15,-0.089
1948-06-15,-0.043
1948-07-15,-0.08
1948-08-15,-0.101
1948-09-15,-0.031
1948-10-15,-0.025
1948-11-15,-0.08
1948-12-15,-0.129
1949-01-15,-0.177
